"","pvalue","# of substrates","substrates"
"CAMK2A","0.60285401892181","4","PEA15;S116;;PTPRA;S180;;VIM;S39;;PTPRA;S204;"
"CDK5","0.609968835207851","7","STMN1;S38;;RAB3IL1;S169;;STUB1;S20;;RAB3IL1;S180;;CORO1A;T418;;SNTB2;S75;;NDEL1;S198;"
"RPS6KA1","0.631234812172099","5","HMGN1;S7;;FLNA;S2152;;EIF4B;S422;;BAD;S136;;GAB2;S211;"
"AURKB","0.651861609844232","4","VIM;S7;;VIM;S39;;VIM;S47;;VIM;S73;"
"CSNK2A1","0.652977979495717","8","M6PR;S268;;DNMT3A;S386;;PEA15;S116;;ARL13B;S328;;DNMT3A;S389;;PTPRC;S994;;IKZF1;S63;;VAMP4;S30;"
"PRKCA","0.805060345855196","11","LMNA;S575;;HSPB1;S15;;HSPB1;S86;;LMNA;T416;;VIM;S7;;PTPRA;S180;;TMPO;S179;;VIM;S39;;VIM;S51;;PTPRA;S204;;STX7;S125;"
"MAPK9","0.945765785882815","5","BCL2L11;S65;;JUN;S63;;STMN1;S38;;ATF2;T51;;ATF2;T53;"
"PRKCD","0.966206989177657","4","TRIM28;S473;;HSPB1;S15;;HSPB1;S86;;PRKCD;S643;"
"Yang.Erk1","0.986199737226175","10","DYNC1LI1;S516;;JUN;S73;;BCL6;S344;;JUN;S63;;STMN1;S38;;ABI1;S225;;BCL6;S334;;LMNA;S22;;RPTOR;S863;;RPS3;T221;"
"Yang.S6K","0.991958447166128","7","RPS6;S240;;MDM2;S163;;NCBP1;S7;;NCBP1;T21;;NCBP1;S22;;EIF4B;S422;;RPS6;S236;"
"MAPKAPK2","0.992475146198052","7","ZFP36;S178;;ZFP36;S52;;HSPB1;S15;;RBM7;S136;;HSPB1;S86;;MRTFA;S351;;LSP1;S195;"
"MAPK8","0.992952515740053","7","BCL2L11;S65;;MARCKSL1;T148;;JUN;S73;;JUN;S63;;STMN1;S38;;ATF2;T51;;ATF2;T53;"
"MAPK1","0.993626731672768","23","BCL2L11;S55;;BCL2L11;S65;;RIPOR1;T351;;ZC3HC1;S353;;DYNC1LI1;S516;;KLC1;S459;;ZC3HC1;S358;;STMN1;S38;;HNRNPH1;S104;;CFL1;T25;;MYBBP1A;S1280;;UGDH;T474;;MYO9B;T1317;;LARP1;S751;;EP300;S2312;;LMNA;S22;;SAFB;S366;;JAK2;S523;;PRRC2A;S1002;;STIM1;S575;;RPS3;T221;;ATF2;T53;;MAP1B;T1784;"
