Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	E:\BaiduNetdiskDownload\APPLIED PROTEIN TECHNOLOGY\2026\20260106\YAS202601070072-3\YAS202601070072-3-P-Lvs-26-1-1-1.raw	E:\BaiduNetdiskDownload\APPLIED PROTEIN TECHNOLOGY\2026\20260106\YAS202601070072-3\YAS202601070072-3-P-Lvs-26-1-1-2.raw	E:\BaiduNetdiskDownload\APPLIED PROTEIN TECHNOLOGY\2026\20260106\YAS202601070072-3\YAS202601070072-3-P-Lvs-26-1-1-3.raw	E:\BaiduNetdiskDownload\APPLIED PROTEIN TECHNOLOGY\2026\20260106\YAS202601070072-3\YAS202601070072-3-P-Lvs-26-1-1-4.raw
Q9CZ13	Q9CZ13	QCR1_MOUSE	Uqcrc1	Cytochrome b-c1 complex subunit 1, mitochondrial	28713.5	30388.8	42961	46333.6
Q9CZ30;Q9CZ30-2	Q9CZ30;Q9CZ30-2	OLA1_MOUSE	Ola1	Obg-like ATPase 1	3347.31	1934.39	7192.46	3589.39
Q9CZ42;Q9CZ42-2;Q9CZ42-3	Q9CZ42;Q9CZ42-2;Q9CZ42-3	NNRD_MOUSE	Naxd	ATP-dependent (S)-NAD(P)H-hydrate dehydratase	11813	11738.2	6342.4	5580.15
Q9CZ44;Q9CZ44-2;Q9CZ44-3	Q9CZ44;Q9CZ44-2;Q9CZ44-3	NSF1C_MOUSE	Nsfl1c	NSFL1 cofactor p47	54699.7	42939.1	49093.3	35696.7
Q9CZ91	Q9CZ91	SRFB1_MOUSE	Srfbp1	Serum response factor-binding protein 1	212029	210760	137694	233702
Q9CZE3	Q9CZE3	RAB32_MOUSE	Rab32	Ras-related protein Rab-32	33058.2	28361.3	25872.8	33394.2
Q9CZH7	Q9CZH7	MXRA7_MOUSE	Mxra7	Matrix-remodeling-associated protein 7	57590.5	51618.7	23595.2	34287.6
Q9CZL2	Q9CZL2	F241A_MOUSE	Fam241a	Uncharacterized protein FAM241A	22323.1	31469.3	18525.6	20914.9
Q9CZM2	Q9CZM2	RL15_MOUSE	Rpl15	60S ribosomal protein L15	55768.8	58088.2	66380	42890.3
Q9CZN7;Q9CZN7-2	Q9CZN7;Q9CZN7-2	GLYM_MOUSE	Shmt2	Serine hydroxymethyltransferase, mitochondrial	14712.6	13428.3	17156.6	16551.4
Q9CZR8	Q9CZR8	EFTS_MOUSE	Tsfm	Elongation factor Ts, mitochondrial	5480.04		9595.39	6412.41
Q9CZU6	Q9CZU6	CISY_MOUSE	Cs	Citrate synthase, mitochondrial	51307.7	50617.4	73195.9	73428.5
Q9CZV5	Q9CZV5	ST65G_MOUSE	Supt7l	STAGA complex 65 subunit gamma		70090.9		89044.3
Q9CZV8;Q9CZV8-3;Q9CZV8-4	Q9CZV8;Q9CZV8-3;Q9CZV8-4	FXL20_MOUSE	Fbxl20	F-box/LRR-repeat protein 20	403212	293239	275695	213619
Q9CZX5	Q9CZX5	PINX1_MOUSE	Pinx1	PIN2/TERF1-interacting telomerase inhibitor 1	23747.5	18632.2	14750.3	16518.4
Q9CZX7	Q9CZX7	PP4P2_MOUSE	Pip4p2	Type 2 phosphatidylinositol 4,5-bisphosphate 4-phosphatase	31217.4	14652.2	22424.1	45665.2
Q9CZX8	Q9CZX8	RS19_MOUSE	Rps19	40S ribosomal protein S19	25462.7	20463.8	40121.1	24555
Q9CZX9	Q9CZX9	EMC4_MOUSE	Emc4	ER membrane protein complex subunit 4	24954.6	60998.5		
Q9CZY3;Q9CZY3-2	Q9CZY3;Q9CZY3-2	UB2V1_MOUSE	Ube2v1	Ubiquitin-conjugating enzyme E2 variant 1	156734	166196	127110	116891
Q9D020;Q9D020-1	Q9D020;Q9D020-1	5NT3A_MOUSE	Nt5c3a	Cytosolic 5'-nucleotidase 3A	2758.84	2611.66	3091.36	7937.35
Q9D032;Q9D032-2	Q9D032;Q9D032-2	SSBP3_MOUSE	Ssbp3	Single-stranded DNA-binding protein 3	37271		36662.2	18568.5
Q9D051	Q9D051	ODPB_MOUSE	Pdhb	Pyruvate dehydrogenase E1 component subunit beta, mitochondrial	18910.4	12185.1	26169.9	21699.3
Q9D067;Q9D067-2;Q9D067-4	Q9D067;Q9D067-2;Q9D067-3;Q9D067-4	MDM1_MOUSE	Mdm1	Nuclear protein MDM1	35700.4	25292.7	20278	22254.9
Q9D074;Q9D074-2;Q9D074-3;Q9D074-4;Q9D074-5	Q9D074;Q9D074-2;Q9D074-3;Q9D074-4;Q9D074-5	MGRN1_MOUSE	Mgrn1	E3 ubiquitin-protein ligase MGRN1	71220	81365.3	50710.7	118347
Q9D0B0	Q9D0B0	SRSF9_MOUSE	Srsf9	Serine/arginine-rich splicing factor 9	172876	186399	201796	242250
Q9D0E1;Q9D0E1-2	Q9D0E1;Q9D0E1-2	HNRPM_MOUSE	Hnrnpm	Heterogeneous nuclear ribonucleoprotein M	16575.1	24231.7	52974.5	40547.1
Q9D0E3	Q9D0E3	LYSM1_MOUSE	Lysmd1	LysM and putative peptidoglycan-binding domain-containing protein 1		3609.44	6832.13	8334.91
Q9D0F4	Q9D0F4	NKAP_MOUSE	Nkap	NF-kappa-B-activating protein	64337.1	87348.9	85472.9	78325.2
Q9D0F9	Q9D0F9	PGM1_MOUSE	Pgm1	Phosphoglucomutase-1	14493.4	5463.66	8634.74	9804.63
Q9D0I4	Q9D0I4	STX17_MOUSE	Stx17	Syntaxin-17	31352.2	24479.5	25650.7	33428.2
Q9D0I9	Q9D0I9	SYRC_MOUSE	Rars1	Arginine--tRNA ligase, cytoplasmic	1741.59	967.038	5482.89	
Q9D0K2	Q9D0K2	SCOT1_MOUSE	Oxct1	Succinyl-CoA:3-ketoacid coenzyme A transferase 1, mitochondrial	34703.7	33915.8	69049.7	60020.5
Q9D0L7	Q9D0L7	ARM10_MOUSE	Armc10	Armadillo repeat-containing protein 10	721756	432355	375426	511238
